latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.781,-46.704,339.1,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,295.8,50.9,N
-11.783,-46.715,324,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,294.5,25.4,N
-11.772,-46.705,345.7,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,295,65.6,N
-11.773,-46.716,341.7,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,294.5,56.5,N
-11.62,-46.157,320.4,1.1,1,2019-09-27,0130,T,100,6.0NRT,288.3,21.4,N
-11.614,-46.154,308.4,1.1,1,2019-09-27,0130,T,70,6.0NRT,285.2,11.7,N
-11.615,-46.164,326.4,1.1,1,2019-09-27,0130,T,100,6.0NRT,289.3,29.8,N
-11.617,-46.174,314.6,1.1,1,2019-09-27,0130,T,71,6.0NRT,290.5,15.5,N
-11.2,-43.294,310.5,1,1,2019-09-27,0130,T,80,6.0NRT,295.5,8.7,N
-11.607,-46.175,310.4,1.1,1,2019-09-27,0130,T,74,6.0NRT,289.3,12.3,N
-11.186,-43.258,308.7,1,1,2019-09-27,0130,T,60,6.0NRT,295.5,6.4,N
-11.188,-43.276,314.9,1,1,2019-09-27,0130,T,89,6.0NRT,296.2,11.1,N
-11.19,-43.286,306.5,1,1,2019-09-27,0130,T,20,6.0NRT,295.2,5,N
-11.52,-46.276,301.4,1.1,1.1,2019-09-27,0130,T,41,6.0NRT,290.6,5.9,N
-11.689,-47.531,313.9,1.3,1.1,2019-09-27,0130,T,88,6.0NRT,290.8,15.2,N
-11.681,-47.544,308.9,1.3,1.1,2019-09-27,0130,T,45,6.0NRT,289.6,9.5,N
-11.599,-47.537,310.6,1.3,1.1,2019-09-27,0130,T,80,6.0NRT,290,12.8,N
-10.963,-43.247,319.4,1,1,2019-09-27,0130,T,98,6.0NRT,295.5,15.9,N
-10.964,-43.256,316.7,1,1,2019-09-27,0130,T,93,6.0NRT,295.2,13.7,N
-10.951,-43.229,307.8,1,1,2019-09-27,0130,T,70,6.0NRT,293.9,6.7,N
-10.955,-43.257,308,1,1,2019-09-27,0130,T,70,6.0NRT,294.4,7.3,N
-11.199,-45.028,310,1,1,2019-09-27,0130,T,15,6.0NRT,293,8.9,N
-11.133,-44.617,303.7,1,1,2019-09-27,0130,T,56,6.0NRT,293.4,4.2,N
-11.192,-45.038,313.1,1,1,2019-09-27,0130,T,83,6.0NRT,295.3,10.6,N
-11.512,-47.43,312.4,1.3,1.1,2019-09-27,0130,T,84,6.0NRT,289.7,12.9,N
-11.184,-45.045,304.8,1,1,2019-09-27,0130,T,50,6.0NRT,293.8,5,N
-11.512,-47.424,305.5,1.3,1.1,2019-09-27,0130,T,46,6.0NRT,290.2,6.4,N
-11.514,-47.435,309.5,1.3,1.1,2019-09-27,0130,T,78,6.0NRT,288.1,10.4,N
-11.082,-44.584,352.3,1,1,2019-09-27,0130,T,100,6.0NRT,296,66.5,N
-11.083,-44.593,324.3,1,1,2019-09-27,0130,T,100,6.0NRT,293.7,21.1,N
-10.922,-44.363,324,1,1,2019-09-27,0130,T,100,6.0NRT,294.4,20.7,N
-11.358,-47.871,304.6,1.4,1.2,2019-09-27,0130,T,61,6.0NRT,288.4,8,N
-11.464,-49.224,311.1,1.7,1.3,2019-09-27,0130,T,82,6.0NRT,289.6,18.8,N
-11.465,-49.215,308.6,1.7,1.3,2019-09-27,0130,T,75,6.0NRT,289.3,16.4,N
-11.467,-49.23,303.8,1.7,1.3,2019-09-27,0130,T,57,6.0NRT,289.9,9.5,N
-10.997,-46.48,314,1.1,1.1,2019-09-27,0130,T,88,6.0NRT,293.7,13.9,N
-10.998,-46.491,313.2,1.1,1.1,2019-09-27,0130,T,87,6.0NRT,291.2,13.2,N
-10.939,-46.551,300.6,1.1,1.1,2019-09-27,0130,T,31,6.0NRT,290.6,4.1,N
-10.466,-43.369,312.8,1,1,2019-09-27,0130,T,86,6.0NRT,294.4,10.6,N
-10.467,-43.379,315.7,1,1,2019-09-27,0130,T,92,6.0NRT,294.1,12.6,N
-10.469,-43.388,309.2,1,1,2019-09-27,0130,T,77,6.0NRT,294.9,7.4,N
-10.47,-43.397,306.1,1,1,2019-09-27,0130,T,67,6.0NRT,295.5,5.2,N
-10.434,-43.403,311.3,1,1,2019-09-27,0130,T,63,6.0NRT,295.8,7.6,N
-10.42,-43.376,309.5,1,1,2019-09-27,0130,T,63,6.0NRT,294.8,7.1,N
-10.422,-43.386,309.5,1,1,2019-09-27,0130,T,61,6.0NRT,295.1,6.8,N
-10.506,-44.87,332.1,1,1,2019-09-27,0130,T,100,6.0NRT,294.2,31.3,N
-11.113,-49.69,304,1.8,1.3,2019-09-27,0130,T,27,6.0NRT,286.7,12.5,N
-11.101,-49.691,302.9,1.8,1.3,2019-09-27,0130,T,30,6.0NRT,284.5,11.3,N
-10.793,-47.996,302.6,1.4,1.2,2019-09-27,0130,T,50,6.0NRT,290.2,5.4,N
-10.794,-48.008,303.4,1.4,1.2,2019-09-27,0130,T,55,6.0NRT,290.4,6.2,N
-10.778,-48.094,305.5,1.4,1.2,2019-09-27,0130,T,37,6.0NRT,291.5,6.9,N
-9.623,-40.344,304.8,1.5,1.2,2019-09-27,0130,T,59,6.0NRT,293.6,8,N
-10.582,-47.318,305.9,1.2,1.1,2019-09-27,0130,T,47,6.0NRT,293.4,6.2,N
-10.838,-49.335,307.4,1.7,1.3,2019-09-27,0130,T,65,6.0NRT,288.2,14.2,N
-10.84,-49.35,311.6,1.7,1.3,2019-09-27,0130,T,83,6.0NRT,288.2,20.6,N
-10.841,-49.34,316.6,1.7,1.3,2019-09-27,0130,T,94,6.0NRT,288.5,30.1,N
-10.843,-49.355,305.2,1.7,1.3,2019-09-27,0130,T,63,6.0NRT,288.3,12,N
-10.898,-50.062,317.2,1.9,1.4,2019-09-27,0130,T,95,6.0NRT,289.7,36.9,N
-10.9,-50.08,302.4,1.9,1.4,2019-09-27,0130,T,44,6.0NRT,288.3,9.4,N
-10.795,-49.44,307.3,1.7,1.3,2019-09-27,0130,T,71,6.0NRT,289.3,15.6,N
-10.866,-50.102,305.1,1.9,1.4,2019-09-27,0130,T,63,6.0NRT,289,15.3,N
-10.86,-50.091,304.6,1.9,1.4,2019-09-27,0130,T,38,6.0NRT,289,14.7,N
-10.385,-46.631,308.4,1.1,1.1,2019-09-27,0130,T,74,6.0NRT,295.2,7.5,N
-10.386,-46.641,304.4,1.1,1.1,2019-09-27,0130,T,43,6.0NRT,294.4,4.6,N
-9.456,-40.383,305.9,1.5,1.2,2019-09-27,0130,T,65,6.0NRT,293.6,10.2,N
-10.481,-47.482,305.7,1.2,1.1,2019-09-27,0130,T,65,6.0NRT,290,7.6,N
-10.613,-48.727,315.8,1.5,1.2,2019-09-27,0130,T,92,6.0NRT,286.9,24.8,N
-10.615,-48.741,307.9,1.5,1.2,2019-09-27,0130,T,73,6.0NRT,284.7,14.3,N
-10.322,-46.599,309.6,1.1,1.1,2019-09-27,0130,T,78,6.0NRT,293.9,9.1,N
-10.323,-46.609,306.1,1.1,1.1,2019-09-27,0130,T,67,6.0NRT,293.9,6.3,N
